sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
799,6269,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,500,100,-0.669045,35.0597117,1823.8,3.9
800,6263,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,20,240,300,-0.6690372,35.060022,1817.1,4.78
801,6215,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,450,180,-0.6690343,35.0596338,1804.4,4.5
802,6223,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,500,250,-0.6690265,35.0599468,1818,3.66
803,6228,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,38,600,300,-0.6690195,35.0600352,1805.8,4.75
804,6205,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,600,250,-0.6690193,35.0592376,1805,4.425
805,6221,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,450,150,-0.6690083,35.06031,1816.5,4
806,6967,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,50,730,120,-0.6690035,35.0599074,1806,4
807,6295,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,30,230,130,-0.6690033,35.0599367,1806.7,4
808,6225,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,36,800,320,-0.6690006,35.0602009,1807.6,4.775
809,6930,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,45,1350,350,-0.6689933,35.0602565,1844.1,4.82
810,6226,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,22,340,100,-0.6689917,35.0601267,1806.7,4.3
811,6932,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,125,2150,650,-0.6689734,35.0592107,1844.6,4.34
812,6204,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,26,520,130,-0.6689662,35.0601118,1805.3,3.55
813,6294,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,55,500,200,-0.6689591,35.0599071,1821.4,4.6
814,6224,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,18,400,130,-0.6689367,35.060245,1809.2,3.5
815,6202,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,25,230,150,-0.6689267,35.05998,1804.6,4
816,6931,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,32,1250,350,-0.6689181,35.0601953,1844.1,4.94
817,6214,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,35,500,120,-0.66888,35.0601883,1817.5,3.4
818,2311,cropland_agroforestry,144,4,Embu,Grevillea,robusta,32,780,220,-0.65602,37.5767333,1092.1,5
819,1345,cropland_agroforestry,144,4,Embu,Musa,acuminata,60,380,300,-0.6560175,37.5765457,1091.9,4.96
820,2310,cropland_agroforestry,144,4,Embu,Grevillea,robusta,30,600,180,-0.6559583,37.5766658,1092.3,3.96
821,1346,cropland_agroforestry,144,4,Embu,Musa,acuminata,30,420,150,-0.6559126,37.5768121,1093.6,4.7
